city,state_name,country_name,latitude,longitude,nyc_distance,dc_distance
Portland,Oregon,United States,45.5202471,-122.6741949,2445.411048656339,2353.2659354507614
Ashburn,Virginia,United States,39.0437192,-77.4874899,217.9319138133054,26.346059312866114
Charlotte,North Carolina,United States,35.2272086,-80.8430827,531.1525869963637,328.4699754348255
Minneapolis,Minnesota,United States,44.9772995,-93.2654692,1018.7751367998703,933.483666691296
Upper Marlboro,Maryland,United States,38.8165274,-76.7519753,196.16760416534714,16.33011652072348
College Park,Maryland,United States,38.980666,-76.9369189,196.3816424007263,8.418803404962468
Boca Raton,Florida,United States,26.3586885,-80.0830984,1048.8897106279412,881.3501518145995
Bronx,New York,United States,40.8466508,-73.8785937,11.40474545577651,215.59288976907274
Great Falls,Virginia,United States,38.9981653,-77.2883157,210.81502080140527,15.34067915501625
Centreville,Virginia,United States,38.8403909,-77.4288769,223.32516723215326,21.229869120188205
Greenbelt,Maryland,United States,38.9937333,-76.883065797021,193.55252273293195,11.125016232737215
Oakton,Virginia,United States,38.896729,-77.29866437219505,215.36922387351467,13.945005066233453
Tampa,Florida,United States,27.9477595,-82.458444,1002.6570757342479,816.0554321199154
Olney,Maryland,United States,39.1532123,-77.0668408,194.93116504847643,18.27826319463532
San Antonio,Texas,United States,29.4246002,-98.4951405,1583.2454621258603,1386.7442545136666
Raleigh,North Carolina,United States,35.7803977,-78.6390989,423.2223473310511,231.74487553854294
Fredericksburg,Virginia,United States,38.3031837,-77.4605399,248.38220232669357,46.378009305596514
Cincinnati,Ohio,United States,39.1014537,-84.5124602,568.8289804903146,402.39211191149667
Saint Louis,Missouri,United States,38.6264178,-90.1998378,874.0028731242486,710.3717462731629
Cambridge,Massachusetts,United States,42.3750997,-71.1056157,189.12279254028758,393.7683788841308
Phoenix,Arizona,United States,33.4484367,-112.0741417,2144.3199523847684,1981.6121680265035
Wash,District of Columbia,United States,38.9552503,-77.0833014,203.67561166698505,5.123426353605586
Rochester,New York,United States,43.157285,-77.615214,251.06946745068663,296.06018381636545
Wilmington,Delaware,United States,39.7459468,-75.546589,105.29150080456947,99.49561801291043
Fort Lauderdale,Florida,United States,26.1223084,-80.1433786,1065.5267915485488,898.0364248669482
Columbus,Ohio,United States,39.9622601,-83.0007065,477.51233333714094,327.31850406011387
Las Vegas,Nevada,United States,36.1672559,-115.1485163,2233.2511415392655,2086.2941119679713
Virginia Beach,Virginia,United States,36.8529841,-75.9774183,286.70749161345515,151.96741672676504
San Juan,Puerto Rico,United States,18.465299,-66.116666,1602.5488293781962,1552.236737442152
New Orleans,Louisiana,United States,29.9499323,-90.0701156,1168.8639143571645,964.4433287559317
Chantilly,Virginia,United States,38.8941543,-77.4311513,221.2431319196447,21.080397200980062
Nashville,Tennessee,United States,36.1622296,-86.7743531,759.4986031049838,566.4121404480702
Charlottesville,Virginia,United States,38.029306,-78.4766781,302.5378141374012,97.90791230614575
Honolulu,Hawaii,United States,21.304547,-157.8556764,4967.680477440689,4836.687553963183
Durham,North Carolina,United States,35.996653,-78.9018053,419.9822989081127,224.18895611915292
Orlando,Florida,United States,28.5421109,-81.3790304,937.3503276771245,755.3769426711651
San Jose,California,United States,37.3361905,-121.890583,2555.1998158550136,2421.5585326645382
Princeton,New Jersey,United States,40.3492744,-74.6592958,42.56578220233694,162.11625541902376
Cleveland,Ohio,United States,41.5051613,-81.6934446,404.799819999086,305.19936185914935
Oakland,California,United States,37.8044557,-122.2713563,2563.635319753776,2432.4865203304566
Albuquerque,New Mexico,United States,35.0841034,-106.6509851,1814.7918890523524,1651.4934797238639
Tucson,Arizona,United States,32.2228765,-110.9748477,2123.201622145272,1954.1858820652908
Waldorf,Maryland,United States,38.6263882,-76.9106581,211.40100427971265,19.422127050476274
Derwood,Maryland,United States,39.11733,-77.1610916,200.50786765990674,17.0386362865693
Boulder,Colorado,United States,40.0149856,-105.2705456,1642.0471239563633,1505.5263474702376
Louisville,Kentucky,United States,38.2542376,-85.759407,650.2394598733287,473.99089996805816
Indianapolis,Indiana,United States,39.7683331,-86.1583502,645.3216613725532,492.0579182979129
Chapel Hill,North Carolina,United States,35.9131542,-79.05578,429.82959030713477,233.25437767137728
Fairfax Station,Virginia,United States,38.800859,-77.3256803,220.52837962243365,16.559810576060283
Stamford,Connecticut,United States,41.072089,-73.54443614832871,34.628094453571585,238.94100950401779
Montgomery Village,Maryland,United States,39.1729034,-77.2030297,200.25686830621325,21.451438219877286
Jacksonville,Florida,United States,30.3321838,-81.655651,834.6617096926733,645.5798741640941
Beltsville,Maryland,United States,39.0299081,-76.9149547,193.35479015202336,11.827035292225819
Fort Washington,Maryland,United States,38.7125305,-77.0124598,211.40870234220526,12.268370722460565
Buffalo,New York,United States,42.8867166,-78.8783922,292.8847663574876,292.14818832814143
Warrenton,Virginia,United States,38.7135498,-77.795367,244.48016261982892,42.523196304012025
Scottsdale,Arizona,United States,33.4942189,-111.9260184,2135.2282532744325,1972.494380738982
Winchester,Virginia,United States,39.1852184,-78.1652404,244.6773441938323,63.88193280273198
Stafford,Virginia,United States,38.4222681,-77.4084067,240.738926497682,37.86023628654587
Sarasota,Florida,United States,27.3364347,-82.5306527,1042.4179523727084,856.9942541769325
Staten Island,New York,United States,40.5834557,-74.1496048,11.68401415053991,193.29517214954
Ann Arbor,Michigan,United States,42.2681569,-83.7312291,515.6177851434489,422.02831518055876
